Name,Club,Age,International Reputation,Nationality
C. Trueman,Birmingham City,22,1.0,England
F. Azemi,Sandefjord Fotball,26,1.0,Norway
Fernando,UD Almería,28,1.0,Spain
A. O'Neill,Central Coast Mariners,19,1.0,Australia
Javi Jiménez,Valencia CF,21,1.0,Spain
M. Dube,Orlando Pirates,25,1.0,South Africa
J. Mejías,Gimnàstic de Tarragona,20,1.0,Venezuela
C. Ohene,Ohod Club,24,1.0,Ghana
K. Risgård,Aalborg BK,35,1.0,Denmark
F. Forte,Waasland-Beveren,25,1.0,Italy
Han Seok Jong,Incheon United FC,25,1.0,Korea Republic
N. Avellaneda,Defensa y Justicia,25,1.0,Argentina
Park Dae Han,Sangju Sangmu FC,27,1.0,Korea Republic
A. Erceg,Brøndby IF,28,1.0,Croatia
M. Vázquez,La Equidad,25,1.0,Argentina
A. Wildig,Morecambe,26,1.0,England
O. Abdulaziz,Al Faisaly,34,1.0,Saudi Arabia
F. Kent,Colchester United,22,1.0,England
M. Pink,SK Sturm Graz,27,1.0,Austria
F. Morais,Crawley Town,32,1.0,Portugal
S. Yesil,KFC Uerdingen 05,24,1.0,Germany
M. Bürki,SV Zulte-Waregem,24,1.0,Switzerland
L. Mosquera,Rionegro Águilas,29,1.0,Colombia
J. Horsfield,Scunthorpe United,22,1.0,England
K. Edwards,West Bromwich Albion,20,1.0,England
O. Hawkins,Portsmouth,26,1.0,England
H. Opdal,IK Start,36,1.0,Norway
T. Albutat,MSV Duisburg,25,1.0,Germany
H. Cid,Tiburones Rojos de Veracruz,26,1.0,Mexico
T. Edwards,Stoke City,19,1.0,England
B. Arce,Extremadura UD,19,1.0,Ecuador
Sui Donglu,Chongqing Dangdai Lifan FC SWM Team,35,1.0,China PR
A. Palacios,Deportivo Pasto,26,1.0,Colombia
E. Käck,IK Start,28,1.0,Sweden
V. Sierro,FC St. Gallen,22,1.0,Switzerland
A. Rodman,Bristol Rovers,31,1.0,England
E. Zenga,SV Sandhausen,25,1.0,Germany
R. Ruiz,Deportivo Toluca,32,1.0,Mexico
C. McHugh,Motherwell,25,1.0,Republic of Ireland
Ferrán Giner,RCD Mallorca,30,1.0,Spain
F. Ponce,Boyacá Chicó FC,30,1.0,Mexico
A. Chicksen,Bradford City,26,1.0,Zimbabwe
N. Miatke,FSV Zwickau,28,1.0,Germany
G. Rólantsson Sørensen,SK Brann,25,1.0,Faroe Islands
A. Damen,Excelsior,28,1.0,Netherlands
A. Arroyo,Santa Clara,24,1.0,Panama
I. Voca,FC Luzern,21,1.0,Kosovo
Fran Manzanara,Levante UD,21,1.0,Spain
S. Lawson,Livingston FC,23,1.0,Togo
A. Gerbo,Foggia,28,1.0,Italy
A. N'Diaye,Clermont Foot 63,27,1.0,France
R. McCrorie,Rangers FC,20,1.0,Scotland
M. O'Connor,Lincoln City,30,1.0,Northern Ireland
L. Prosser,Colchester United,30,1.0,England
J. Clauss,DSC Arminia Bielefeld,25,1.0,France
G. Cummins,Cork City,30,1.0,Republic of Ireland
F. Olijve,De Graafschap,29,1.0,Netherlands
Maicon,Livorno,25,1.0,Brazil
C. Mosca,San Martín de San Juan,27,1.0,Argentina
G. Castrovilli,US Cremonese,21,1.0,Italy
G. Nepomuceno,Oldham Athletic,25,1.0,Curacao
S. Dembele,Peterborough United,21,1.0,Scotland
M. McKay,Brisbane Roar,35,1.0,Australia
S. Ringstad,Sandefjord Fotball,26,1.0,Norway
C. Evina,Notts County,26,1.0,Cameroon
L. Wing,Middlesbrough,23,1.0,England
D. Henry,Vancouver Whitecaps FC,25,1.0,Canada
M. Jakoliš,FC Admira Wacker Mödling,21,1.0,Croatia
G. Di Noia,Carpi,23,1.0,Italy
N. Ansell,Melbourne Victory,24,1.0,Australia
G. Wüthrich,BSC Young Boys,23,1.0,Switzerland
M. Osei Kwadwo,1. FC Magdeburg,23,1.0,Ghana
Nathan,Grasshopper Club Zürich,23,1.0,Brazil
K. Tokstad,Strømsgodset IF,26,1.0,Norway
V. Agardius,Kalmar FF,28,1.0,Sweden
A. Sandona,Patronato,25,1.0,Argentina
K. Osorio,Patriotas Boyacá FC,24,1.0,Colombia
S. Al Rubaie,Ettifaq FC,24,1.0,Saudi Arabia
D. Van den Buijs,Heracles Almelo,22,1.0,Belgium
A. Badji,Djurgårdens IF,20,1.0,Senegal
M. Eisa,Bristol City,23,1.0,Sudan
N. Sessa,VfR Aalen,22,1.0,Germany
M. Álvarez,Independiente,29,1.0,Argentina
D. Ball,Bradford City,28,1.0,England
A. Thompson,Bury,25,1.0,Northern Ireland
G. Morrissey,Cork City,26,1.0,Republic of Ireland
D. Remick,Houston Dynamo,27,1.0,United States
J. Dall'Oglio,Brescia,26,1.0,Italy
Yang Jun A,Jeonnam Dragons,29,1.0,Korea Republic
G. Beretta,Ascoli,26,1.0,Italy
J. Córdoba,Itagüí Leones FC,30,1.0,Colombia
T. Craig,Bristol Rovers,33,1.0,England
S. Monaco,Perugia,25,1.0,Italy
M. Rahn,VfL Sportfreunde Lotte,28,1.0,Germany
M. Rosheuvel,NAC Breda,27,1.0,Netherlands
C. Amissi,Al Taawoun,28,1.0,Burundi
Júnior Tavares,Sampdoria,21,1.0,Brazil
M. Breij,FC Groningen,21,1.0,Netherlands
C. Vergara,Club Deportes Temuco,24,1.0,Chile
Y. Rokutan,Shimizu S-Pulse,31,1.0,Japan
T. Danneberg,VfL Osnabrück,32,1.0,Germany
B. Kwiecień,Jagiellonia Białystok,24,1.0,Poland
P. Tietz,FC Carl Zeiss Jena,20,1.0,Germany
M. Gostomski,Cracovia,29,1.0,Poland
T. Ricketts,Toronto FC,30,1.0,Canada
R. Klingenburg,SC Preußen Münster,24,1.0,Germany
A. Hoole,Central Coast Mariners,24,1.0,Australia
A. Piu,Carpi,21,1.0,Italy
M. Heyer,Hallescher FC,23,1.0,Germany
Y. Opazo,Curicó Unido,33,1.0,Chile
I. Sankhon,Sint-Truidense VV,22,1.0,Guinea
C. Hussey,Cheltenham Town,29,1.0,England
R. Atassi,AS Béziers,27,1.0,Morocco
J. Hiwula,Coventry City,23,1.0,England
S. Kashket,Wycombe Wanderers,22,1.0,England
E. Björkander,GIF Sundsvall,22,1.0,Sweden
E. Abedini,FC Lugano,19,1.0,Switzerland
D. Giorico,Carpi,26,1.0,Italy
L. de la Torre,Fulham,20,1.0,United States
Peixotacinho,Bahia,34,1.0,Brazil
N. Hazazi,Al Qadisiyah,25,1.0,Saudi Arabia
T. Kanamori,Kashima Antlers,24,1.0,Japan
E. Moreno,Deportivo Pasto,24,1.0,Colombia
P. Malarczyk,Korona Kielce,26,1.0,Poland
W. Burns,Fleetwood Town,23,1.0,Wales
V. Bergan,Odds BK,23,1.0,Norway
D. Okereke,Spezia,20,1.0,Nigeria
W. Vorsager,FC Admira Wacker Mödling,21,1.0,Austria
A. Bischoff,FC Hansa Rostock,31,1.0,Portugal
M. Matras,Zagłębie Lubin,27,1.0,Poland
H. Kamara,Stade de Reims,24,1.0,France
K. Soni,Girona FC,20,1.0,Cameroon
F. Al Masrahi,Al Qadisiyah,25,1.0,Saudi Arabia
Adrián Gómez,Albacete BP,24,1.0,Spain
A. Petre,Esbjerg fB,20,1.0,Romania
M. Bakenga,Tromsø IL,25,1.0,Norway
D. Berntsen,Tromsø IL,25,1.0,Norway
Y. Hiraoka,Vegalta Sendai,32,1.0,Japan
K. Enghardt,Randers FC,26,1.0,Denmark
T. Pope,Port Vale,32,1.0,England
A. Ivan,New York Red Bulls,23,1.0,Romania
O. Custodio,FC Luzern,23,1.0,Switzerland
J. Teunckens,Royal Antwerp FC,20,1.0,Belgium
D. Donohue,Portsmouth,24,1.0,Wales
E. Oti Essigba,Esbjerg fB,21,1.0,Ghana
R. Kiernan,Southend United,27,1.0,Republic of Ireland
J. Lumley,Queens Park Rangers,23,1.0,England
M. Torres,Atlético Bucaramanga,22,1.0,Colombia
D. Bertaud,Montpellier HSC,20,1.0,France
K. Oiwa,Vegalta Sendai,28,1.0,Japan
J. Ramírez,Atlético Nacional,20,1.0,Colombia
Pablo Fernández,Real Sporting de Gijón,21,1.0,Spain
Cho Soo Hyuk,Ulsan Hyundai FC,31,1.0,Korea Republic
Z. Jovanovic,Trelleborgs FF,31,1.0,Sweden
D. Islamovic,Östersunds FK,24,1.0,Sweden
E. Ekpolo,BK Häcken,23,1.0,Nigeria
D. Wynne,Colorado Rapids,23,1.0,New Zealand
S. Surridge,Oldham Athletic,19,1.0,England
E. Huth,1. FC Kaiserslautern,21,1.0,Germany
E. Pereyra,San Lorenzo de Almagro,19,1.0,Argentina
R. Foster,St. Johnstone FC,32,1.0,Scotland
J. Donacien,Ipswich Town,24,1.0,St Lucia
X. Tomas,Red Star FC,32,1.0,France
D. Batty,Hull City,20,1.0,England
R. Steer,Once Caldas,36,1.0,Colombia
Mateus Couteira,Paraná,34,1.0,Brazil
G. Diangana,West Ham United,20,1.0,England
F. Aksoy,Beşiktaş JK,20,1.0,Turkey
M. Tootle,Notts County,27,1.0,England
D. Wein,TSV 1860 München,24,1.0,Germany
M. Bravo,San Luis de Quillota,25,1.0,Chile
D. Stroh-Engel,Karlsruher SC,32,1.0,Germany
D. Orgill,Wolfsberger AC,28,1.0,Jamaica
N. Neidhart,VfL Sportfreunde Lotte,23,1.0,Germany
J. Ockford,San Jose Earthquakes,26,1.0,United States
B. Gschweidl,Wolfsberger AC,22,1.0,Austria
S. Yohou,Paris FC,26,1.0,Ivory Coast
E. Pantelakis,Panathinaikos FC,23,1.0,Greece
Marcel,Portimonense SC,25,1.0,Brazil
L. Leahy,Walsall,25,1.0,England
D. Vržogić,SV Meppen,28,1.0,Germany
S. Coulibaly,Dijon FCO,23,1.0,France
A. Rodríguez,Independiente Santa Fe,25,1.0,Colombia
M. Khubrani,Al Qadisiyah,24,1.0,Saudi Arabia
C. Dagnall,Bury,32,1.0,England
Vasquão Junior,Atlético Paranaense,30,1.0,Brazil
F. Björkén,IF Brommapojkarna,27,1.0,Sweden
J. Williams,Rochdale,22,1.0,Wales
H. Al Ghaddioui,SSV Jahn Regensburg,27,1.0,Morocco
S. Saunders,Wycombe Wanderers,34,1.0,England
A. Sarcevic,Plymouth Argyle,26,1.0,England
P. Zieliński,Miedź Legnica,27,1.0,Poland
F. Alastra,Palermo,20,1.0,Italy
O. Richards,Reading,19,1.0,England
Y. Andia,Unión La Calera,25,1.0,Chile
Wang Yun,Shanghai Greenland Shenhua FC,35,1.0,China PR
M. Sansores,Monarcas Morelia,27,1.0,Mexico
J. Martínez,Envigado FC,24,1.0,Colombia
T. De Smet,KAA Gent,20,1.0,Belgium
A. Obispo,PSV,19,1.0,Netherlands
J. Colman,Orlando City SC,19,1.0,Paraguay
A. Nef,FC Zürich,36,1.0,Switzerland
S. Lawless,Livingston FC,27,1.0,Scotland
A. Seck,Royal Antwerp FC,26,1.0,Senegal
S. Saucedo,Real Salt Lake,21,1.0,United States
R. Marchizza,Crotone,20,1.0,Italy
M. Adams,Chicago Fire,21,1.0,England
C. Orrantía,Santos Laguna,27,1.0,Mexico
B. Bellot,Brøndby IF,27,1.0,Germany
G. Zampano,Venezia FC,24,1.0,Italy
R. Poole,Manchester United,20,1.0,Wales
Y. Díaz,Rionegro Águilas,26,1.0,Colombia
T. Berni,Inter,35,1.0,Italy
F. Nouble,Colchester United,26,1.0,England
T. Gebauer,LASK Linz,36,1.0,Austria
F. Torgnascioli,CD Everton de Viña del Mar,27,1.0,Uruguay
A. Etemadi,De Graafschap,31,1.0,Iran
C. Reilly,Gillingham,24,1.0,Republic of Ireland
B. Rowe,Vancouver Whitecaps FC,29,1.0,United States
M. Vitzthum,SG Sonnenhof Großaspach,26,1.0,Germany
O. Özdemir,1. FC Kaiserslautern,23,1.0,Turkey
Alberto Varo,CD Lugo,25,1.0,Spain
Claudio Mouria,Santos,26,1.0,Brazil
P. Staikos,Panathinaikos FC,22,1.0,Greece
N. Fazzi,Livorno,23,1.0,Italy
R. Cepeda,Club Deportes Temuco,24,1.0,Chile
E. Zaldívar,Club Atlas,21,1.0,Mexico
Zhu Jianrong,Shanghai Greenland Shenhua FC,26,1.0,China PR
M. Chacón,FC Emmen,24,1.0,Netherlands
S. Londoño,Envigado FC,23,1.0,Colombia
S. Luna,Belgrano de Córdoba,30,1.0,Argentina
N. Mason,Doncaster Rovers,21,1.0,England
S. Skytte,AC Horsens,21,1.0,Denmark
K. Madu,SV Zulte-Waregem,22,1.0,Nigeria
G. Ruggiero,Palermo,18,1.0,Italy
M. Legittimo,Cosenza,29,1.0,Italy
F. Assmann,Club Atlético Aldosivi,32,1.0,Argentina
C. Mueller,Orlando City SC,21,1.0,United States
Willy,Extremadura UD,29,1.0,Spain
P. Owusu,DSC Arminia Bielefeld,21,1.0,Germany
L. Diaby Fadiga,OGC Nice,17,1.0,France
H. Hansen,FC Würzburger Kickers,23,1.0,Germany
R. Hayasaka,Hokkaido Consadole Sapporo,32,1.0,Japan
E. Lomotey,Villarreal CF,20,1.0,Ghana
J. Marimón,Royal Excel Mouscron,19,1.0,Colombia
Jiang Tao,Beijing Sinobo Guoan FC,29,1.0,China PR
F. Bechtholdt,Curicó Unido,24,1.0,Argentina
P. Salomon,SV Mattersburg,30,1.0,Austria
A. Fukuta,Sagan Tosu,26,1.0,Japan
A. Carleton,Atlanta United,18,1.0,United States
Martínez,Granada CF,25,1.0,Spain
Pablo Vázquez,Granada CF,23,1.0,Spain
K. Michael,Perugia,18,1.0,Nigeria
Rong Hao,Shanghai Greenland Shenhua FC,31,1.0,China PR
J. Szmatuła,Piast Gliwice,37,1.0,Poland
J. Ward,Peterborough United,22,1.0,England
M. Perdijić,Zagłębie Sosnowiec,36,1.0,Croatia
Z. Gordon,Hamilton Academical FC,25,1.0,Scotland
J. Mendy,Dundee FC,28,1.0,Senegal
T. Nishimura,PFC CSKA Moscow,21,1.0,Japan
André Sousa,Vitória de Setúbal,20,1.0,Portugal
J. Amon,FC Nordsjælland,19,1.0,United States
A. Parmak,Trabzonspor,23,1.0,Turkey
C. Gustafsson,IK Sirius,31,1.0,Sweden
J. Bowery,Crewe Alexandra,26,2.0,England
Zhao Honglue,Tianjin TEDA FC,28,1.0,China PR
J. Arvidsson,IK Sirius,33,1.0,Sweden
K. Abazaj,RSC Anderlecht,21,1.0,Albania
Cidinho,AS Béziers,25,1.0,Brazil
Marcelo Freitas,FC Energie Cottbus,24,1.0,Brazil
B. Jopek,Hallescher FC,24,1.0,Germany
A. Masuyama,Vissel Kobe,21,1.0,Japan
F. Flecker,TSV Hartberg,22,1.0,Austria
M. Zimmer,FC Energie Cottbus,25,1.0,Germany
K. Furuhashi,Vissel Kobe,23,1.0,Japan
M. Dembélé,AS Nancy Lorraine,21,1.0,France
L. Geertruida,Feyenoord,17,1.0,Netherlands
Julen López,SD Eibar,22,1.0,Spain
S. Svarnas,AEK Athens,23,1.0,Greece
K. Bryan,Sheffield United,21,1.0,England
Joaninho Chagas,Sport Club do Recife,30,1.0,Brazil
P. Schmidt,FC Admira Wacker Mödling,19,1.0,Austria
N. Schiappacasse,CF Rayo Majadahonda,19,1.0,Uruguay
L. Ainsworth,Plymouth Argyle,30,1.0,England
M. Ellingsen,Molde FK,23,1.0,Norway
S. Mamba,FC Energie Cottbus,24,1.0,Germany
R. Marquez,Philadelphia Union,26,1.0,United States
I. Çipe,Galatasaray SK,23,1.0,Turkey
T. Knöll,1. FC Nürnberg,20,1.0,Germany
P. Prosenik,SV Mattersburg,25,1.0,Austria
E. Galekovic,Melbourne City FC,37,1.0,Australia
L. Schnellbacher,VfR Aalen,24,1.0,Germany
Sergio López,Real Madrid,19,1.0,Spain
J. Bond,West Bromwich Albion,25,1.0,England
Q. Braat,FC Nantes,20,1.0,France
C. Romero,Genoa,20,1.0,Argentina
Mairdel Sampaio,América FC (Minas Gerais),30,1.0,Brazil
A. Absalem,FC Groningen,21,1.0,Netherlands
Lee Yun Pyo,Incheon United FC,33,1.0,Korea Republic
H. Akpan,Bradford City,26,1.0,Nigeria
J. Faucher,Red Star FC,26,1.0,France
P. Wiegers,SG Dynamo Dresden,28,1.0,Germany
J. Cano,Jaguares de Córdoba,28,1.0,Colombia
J. Cortizo,Querétaro,22,1.0,Mexico
P. Breitkreuz,FC Würzburger Kickers,26,1.0,Germany
K. Rendón,Itagüí Leones FC,25,1.0,Colombia
M. Lüftner,FC København,24,1.0,Czech Republic
J. Mårtensson,Örebro SK,29,1.0,Sweden
A. Bernede,Paris Saint-Germain,19,1.0,France
R. Iio,V-Varen Nagasaki,27,1.0,Japan
A. Zamora,Puebla FC,26,1.0,Mexico
S. Rudol,Pogoń Szczecin,23,1.0,Poland
S. Tanabe,FC Tokyo,28,1.0,Japan
J. Clarke,Brentford,23,1.0,England
D. Hofbauer,SKN St. Pölten,27,1.0,Austria
M. Cebula,Korona Kielce,22,1.0,Poland
K. Baccus,Melbourne City FC,26,1.0,Australia
K. Świderski,Jagiellonia Białystok,21,1.0,Poland
Romera,UD Almería,30,1.0,Spain
G. Álvarez,Al Hazem,26,1.0,Bolivia
M. Meilinger,SCR Altach,26,1.0,Austria
M. Wieteska,Legia Warszawa,21,1.0,Poland
Allef,Vitória de Setúbal,23,1.0,Brazil
L. Gonnelli,Livorno,25,1.0,Italy
Y. Demoncy,US Orléans Loiret Football,22,1.0,France
N. Knight-Percival,Bradford City,31,1.0,England
R. Allen,Orlando City SC,28,1.0,United States
Bruno Silva,Moreirense FC,25,1.0,Brazil
D. Perić,Dinamo Zagreb,23,1.0,Croatia
G. Martínez,San Luis de Quillota,29,1.0,Chile
Cho Suk Jae,Daegu FC,25,1.0,Korea Republic
J. García,La Equidad,29,1.0,Colombia
F. Hormazábal,CD O'Higgins,22,1.0,Chile
D. Perquis,GFC Ajaccio,34,1.0,Poland
S. Piesinger,SCR Altach,26,1.0,Austria
F. Woodman,Newcastle United,21,1.0,England
T. Amang,Molde FK,20,1.0,Cameroon
H. Delbridge,Melbourne City FC,26,1.0,Australia
M. Pedersen,SønderjyskE,28,1.0,Denmark
C. Smith,St. Mirren,22,1.0,Scotland
C. Nielsen,Odense Boldklub,24,1.0,Denmark
Z. Sanogo,TSV Hartberg,21,1.0,Burkina Faso
H. Weigelt,AZ Alkmaar,20,1.0,Germany
Kim Soo Beom,Jeju United FC,27,1.0,Korea Republic
A. Gilliead,Shrewsbury,22,1.0,England
J. Aigner,SCR Altach,37,1.0,Austria
P. Ceccaroni,Padova,22,1.0,Italy
O. Aydoğan,Beşiktaş JK,21,1.0,Germany
Hong Jeong Un,Daegu FC,23,1.0,Korea Republic
M. Soisalo,SV Zulte-Waregem,20,1.0,Finland
G. Loiacono,Foggia,26,1.0,Italy
J. Aguirre,Itagüí Leones FC,21,1.0,Colombia
Tiago Marques,Jeju United FC,30,1.0,Brazil
M. Pietrowski,Piast Gliwice,30,1.0,Poland
J. Laursen,Odense Boldklub,23,1.0,Denmark
A. Tanaka,Cerezo Osaka,30,1.0,Japan
J. Goitia,San Martín de San Juan,23,1.0,Argentina
J. Thiaré,Le Havre AC,25,1.0,Senegal
A. Monsecour,Sporting Lokeren,22,1.0,Belgium
D. Niepsuj,Pogoń Szczecin,22,1.0,Poland
F. Henríquez,Godoy Cruz,23,1.0,Argentina
Lucas França,CD Nacional,22,1.0,Brazil
F. Kastrati,Kristiansund BK,26,1.0,Kosovo
M. Janzer,Eintracht Braunschweig,26,1.0,Germany
B. Uaferro,SC Fortuna Köln,26,1.0,Germany
M. Uhre,Brøndby IF,23,1.0,Denmark
A. Stølås,FK Haugesund,29,1.0,Norway
S. Mallan,Hibernian,22,1.0,Scotland
S. Roa,Patriotas Boyacá FC,22,1.0,Colombia
Cho Sung Hwan,Jeonbuk Hyundai Motors,36,1.0,Korea Republic
M. Heinloth,Zagłębie Sosnowiec,26,1.0,Germany
K. Fisher,Montreal Impact,24,1.0,United States
A. Aremu,IK Start,18,1.0,Nigeria
A. Fein,SSV Jahn Regensburg,19,1.0,Germany
R. Bowman,Motherwell,26,1.0,England
N. Karger,TSV 1860 München,25,1.0,Germany
D. Osei Yaw,Toulouse Football Club,19,1.0,France
M. Naderi,KV Kortrijk,21,1.0,Iran
K. Dobras,SCR Altach,25,1.0,Austria
I. Faraj,LOSC Lille,19,1.0,France
C. Mallace,Los Angeles FC,28,1.0,Scotland
D. Serna,Colorado Rapids,24,1.0,United States
C. Nöthe,DSC Arminia Bielefeld,30,1.0,Germany
J. Allansson,Randers FC,25,1.0,Sweden
Han Kook Young,Gangwon FC,28,1.0,Korea Republic
N. Tripichio,Defensa y Justicia,22,1.0,Argentina
A. Walkes,Portsmouth,21,1.0,England
A. Dozzell,Ipswich Town,19,1.0,England
Kim Dong Suk,Incheon United FC,31,1.0,Korea Republic
C. Masuda,Shimizu S-Pulse,33,1.0,Japan
G. Kongshavn,Tromsø IL,27,1.0,Norway
S. Neville,Perth Glory,29,1.0,Australia
R. Raveloson,ESTAC Troyes,21,1.0,Madagascar
T. Kadewere,Le Havre AC,22,1.0,Zimbabwe
T. Dieng,Southend United,26,1.0,France
O. Atasayar,Bursaspor,23,1.0,Turkey
C. Tilt,Blackpool,26,1.0,England
Álex Centelles,Valencia CF,18,1.0,Spain
R. Jackson,Colchester United,27,1.0,England
V. Milke,Querétaro,23,1.0,Mexico
C. Rojas,CD Antofagasta,32,1.0,Chile
Steven Prieto,Real Oviedo,20,1.0,Spain
Ko Seul Ki,Incheon United FC,32,1.0,Korea Republic
M. Campos,Audax Italiano,29,1.0,Chile
G. Rivas,San Luis de Quillota,22,1.0,Chile
Pep Biel,Real Zaragoza,21,1.0,Spain
F. Darwish,Al Wehda,26,1.0,Saudi Arabia
R. Arciero,Club Atlético Banfield,25,1.0,Argentina
A. Pinamonti,Frosinone,19,1.0,Italy
L. Luna,Independiente Medellín,30,1.0,Ecuador
B. Evans,Sporting Kansas City,33,1.0,United States
J. O'Sullivan,Blackpool,24,1.0,Republic of Ireland
P. Schorr,VfR Aalen,23,1.0,Germany
Kim Shin,Gyeongnam FC,23,1.0,Korea Republic
B. Touré,Córdoba CF,23,1.0,Ivory Coast
R. Sweeney,Mansfield Town,21,1.0,Republic of Ireland
E. Zambataro,Padova,19,1.0,Italy
N. Rasskazov,Spartak Moscow,20,1.0,Russia
F. Piovaccari,Córdoba CF,33,1.0,Italy
A. Lomovitskiy,Spartak Moscow,20,1.0,Russia
Shin Kwang Hoon,FC Seoul,31,1.0,Korea Republic
M. Kuttin,FC Admira Wacker Mödling,24,1.0,Austria
K. Pallesen,Aalborg BK,28,1.0,Denmark
O. Álvarez,Patriotas Boyacá FC,23,1.0,Colombia
B. Straetman,Sporting Lokeren,20,1.0,Belgium
G. Middleton,Rangers FC,18,1.0,Scotland
J. Eskesen,Odense Boldklub,19,1.0,Denmark
Guillem Jaime,FC Barcelona,19,1.0,Spain
R. Ranftl,LASK Linz,26,1.0,Austria
J. Grant,Plymouth Argyle,30,1.0,Jamaica
M. Yıldırım,Yeni Malatyaspor,31,1.0,Turkey
M. Ingebrigtsen,Tromsø IL,21,1.0,Norway
N. Bertocchi,Club Deportes Temuco,29,1.0,Argentina
A. Camigliano,Cittadella,23,1.0,Italy
U. Saltnes,FK Bodø/Glimt,25,1.0,Norway
I. Harkes,DC United,23,1.0,United States
D. Kelly,DC United,27,1.0,Jamaica
José González,Granada CF,22,1.0,Spain
C. Dikamona,Heart of Midlothian,28,1.0,Congo
J. Maurer,FC Dallas,29,1.0,United States
A. Morgan,Toronto FC,27,1.0,Canada
C. Lustenberger,FC Luzern,31,1.0,Switzerland
M. Ngombo,Ascoli,23,1.0,Belgium
J. Ibarra,Lobos BUAP,29,1.0,Mexico
F. Affolter,San Jose Earthquakes,27,1.0,Switzerland
L. Mai,FC Bayern München,18,1.0,Germany
P. Jerez,CD Antofagasta,33,1.0,Chile
A. Al Bishi,Al Faisaly,24,1.0,Saudi Arabia
D. Watts,Shamrock Rovers,21,1.0,Republic of Ireland
S. Reyes,Monarcas Morelia,20,1.0,Mexico
M. Vitale,SPAL,20,1.0,Italy
M. Seegert,SV Sandhausen,24,1.0,Germany
D. Lewington,Milton Keynes Dons,34,1.0,England
Fran García,Real Madrid,18,1.0,Spain
G. Mebrahtu,Sparta Praha,27,1.0,Australia
V. Screciu,KRC Genk,18,1.0,Romania
Mika,GD Chaves,21,1.0,Portugal
D. Massey,Dundalk,30,1.0,Republic of Ireland
M. O'Hara,Peterborough United,22,1.0,Scotland
J. Augustinsson,Djurgårdens IF,22,1.0,Sweden
L. Pérez,Club Necaxa,29,1.0,Mexico
Gerard Oliva,Cracovia,28,1.0,Spain
J. Hamilton,Dundee FC,24,1.0,Scotland
L. McGee,Portsmouth,22,1.0,England
T. Alfaro,Seattle Sounders FC,25,1.0,Mexico
M. Wagner,SV Meppen,31,1.0,Germany
A. Awaji,Al Ahli,28,1.0,Saudi Arabia
M. Ćosić,FK Haugesund,24,1.0,Croatia
D. McNeil,Burnley,18,1.0,England
P. Charruau,Red Star FC,24,1.0,France
S. Sarr,FC Lorient,22,1.0,Senegal
T. Pearce,Leeds United,20,1.0,England
T. Oakley-Boothe,Tottenham Hotspur,18,1.0,England
S. Ichazo,Torino,26,1.0,Uruguay
D. Daniels,Blackpool,24,1.0,Montserrat
A. Ariano,Patriotas Boyacá FC,27,1.0,Panama
B. Kallman,Minnesota United FC,27,1.0,United States
D. Lovren,Fortuna Düsseldorf,19,1.0,Croatia
Li Wei,Shandong Luneng TaiShan FC,33,1.0,China PR
H. Silva,Defensa y Justicia,26,1.0,Argentina
K. Coulibaly,Willem II,25,1.0,France
J. Deminguet,Stade Malherbe Caen,20,1.0,France
J. Mellis,Mansfield Town,27,1.0,England
S. Demhasaj,FC Luzern,22,1.0,Switzerland
M. Di Piazza,Cosenza,30,1.0,Italy
B. Fernández,Deportivo Pasto,26,1.0,Colombia
S. Binakaj,SG Sonnenhof Großaspach,29,1.0,Albania
Zhou Haibin,Shandong Luneng TaiShan FC,32,1.0,China PR
S. Leyton,CD Everton de Viña del Mar,25,1.0,Chile
C. Dagba,Paris Saint-Germain,19,1.0,France
P. Müller,SC Preußen Münster,23,1.0,Germany
I. Jukić,Korona Kielce,22,1.0,Croatia
K. Zohi,RC Strasbourg Alsace,21,1.0,Ivory Coast
S. Jombati,Wycombe Wanderers,30,1.0,Portugal
J. Cox,América de Cali,24,1.0,Panama
S. Salinas,San Jose Earthquakes,32,1.0,United States
D. Parra,Patriotas Boyacá FC,26,1.0,Colombia
Leonardo Freijão,Ceará Sporting Club,34,1.0,Brazil
D. Powell,Northampton Town,27,1.0,England
D. Potts,Luton Town,24,1.0,England
J. Vidović,SV Meppen,29,1.0,Slovenia
O. Sowunmi,Yeovil Town,22,1.0,England
J. Bertilsson,Örebro SK,30,1.0,Sweden
J. Bachmann,FC Würzburger Kickers,22,1.0,Germany
P. Heerwagen,FC Ingolstadt 04,35,1.0,Germany
B. McNamee,Cork City,26,1.0,Republic of Ireland
J. Aspropotamitis,Central Coast Mariners,22,1.0,Australia
M. Palčič,Wisła Kraków,25,1.0,Slovenia
M. Ristić,Sparta Praha,22,1.0,Serbia
N. Tyson,Wycombe Wanderers,36,1.0,England
S. Al Qumayzi,Al Shabab,26,1.0,Saudi Arabia
C. Agnelli,Foggia,32,1.0,Italy
Lee Sang Heon,Jeonnam Dragons,20,1.0,Korea Republic
B. Bronico,Chicago Fire,23,1.0,United States
M. Okugawa,Holstein Kiel,22,1.0,Japan
T. Obadeyi,FC Sochaux-Montbéliard,28,1.0,England
A. Guira,Aarhus GF,30,1.0,Burkina Faso
Liu Jian,Beijing Renhe FC,33,1.0,China PR
C. Wighton,Heart of Midlothian,20,1.0,Scotland
Y. Segawa,Kashiwa Reysol,24,1.0,Japan
K. Chinen,Kawasaki Frontale,23,1.0,Japan
