NationalityDiversity_norm,WorkRate_Balance_norm,International Reputation_norm,Age_closeness_norm,Chemistry_Index_100
0.25,0.194232536148464,0.0253036437246964,0.2654122494096365,18.373710732069924
0.7,0.3170130769953369,0.6379585326953747,0.3298497713912476,49.620534527048974
0.6499999999999999,0.590756895605275,0.0243664717348927,0.4082299150881781,41.83383206070864
0.5499999999999999,0.1853436933310521,0.0253036437246964,0.7944782193639148,38.87813891049158
0.5999999999999999,0.1896066282212626,0.287828947368421,0.4180274330502938,37.38657521599943
0.5999999999999999,0.333744976470776,0.263157894736842,0.4180274330502938,40.373257606447794
0.4499999999999999,0.8492532573397792,0.0,0.4572175048987588,43.91176905596345
0.7,0.2683176011948388,0.1644736842105263,0.351894186806009,37.11713680528435
0.35,0.5363117040432442,0.0219298245614035,0.4650555192684518,34.33242619682749
0.4499999999999999,0.1279302672142018,0.0572082379862699,0.4947036605798995,28.24605414450928
0.4999999999999999,0.7558885916178756,0.0263157894736842,0.3333768778576096,40.38953147372924
0.25,0.334649159722552,0.0234962406015038,0.4526686572734903,26.52035143993865
0.1999999999999999,0.7888705955635461,0.0939849624060149,0.5691891387515167,41.30111741802695
0.1999999999999999,0.3356958357038732,0.0,0.340024116967291,21.892998816779105
0.5499999999999999,0.3967235637200007,0.29491833030853,0.2234284555958465,36.62675874060943
0.3,0.2886560962046969,0.0234962406015038,0.2983577493701594,22.762752154409004
0.4999999999999999,0.6145521743477738,0.1461988304093567,0.5094709340300456,44.25554846967941
0.5999999999999999,0.1205305638864047,0.1134301270417422,0.5183675308002429,33.80820554320974
0.15,0.1481516875513627,0.0,0.3135205747877201,15.291806558477072
0.6499999999999999,0.6672411069916775,0.6578947368421052,0.383290778457336,58.96066555727797
0.25,0.257734285991034,0.0,0.4572175048987588,24.123794772244818
0.15,0.1157611779799744,0.0,0.4245591116917047,17.25800724179198
0.7,0.598766533794893,0.2672697368421052,0.4345607446113653,50.01492538120908
0.0499999999999999,0.5377266511798546,0.0328947368421052,0.3122142390594384,23.32089067703496
0.3999999999999999,0.6070565645638567,0.0,0.3984323971260615,35.13722404224796
0.3,0.9393226704658316,0.0,0.3114794252122794,38.77005239195277
0.3999999999999999,0.6120393951127644,0.0243664717348927,0.4016982364467667,35.9526025823606
0.75,0.5512453134526522,0.043859649122807,0.3827563683866759,43.19653327405337
0.4499999999999999,0.841230793640083,0.0487329434697856,0.5943827563683866,48.35866233695639
0.5499999999999999,0.4195324232004228,0.0219298245614035,0.3798171129980408,34.28198401899668
0.25,0.3271972977587521,0.0219298245614035,0.406270411495754,25.134938345397742
0.4999999999999999,0.3277129761401562,0.043859649122807,0.5209013716525144,34.81184992288694
0.15,0.3374923561122607,0.0,0.5125034991135577,24.999896380645463
0.35,0.1501173160812816,0.0,0.3135205747877201,20.34094727172504
0.4999999999999999,0.8170602536961581,0.0,0.6139777922926193,48.27595114971943
0.15,0.8554794369380873,0.0,0.5943827563683866,39.99655483266184
0.0,0.8930402347038408,0.0,0.5238406270411495,35.42202154362476
0.3,0.3332187900515114,0.0,0.4797517962116266,27.82426465657845
0.1,0.3437448870925609,0.0243664717348927,0.4114957544088833,21.990177830908426
0.8500000000000001,0.7190622628557297,0.131578947368421,0.2916394513389941,49.807016539078624
0.7,0.5780717934273236,0.0,0.1975832789026781,36.89137680825005
0.1999999999999999,0.2014630865648682,0.0,0.3141037603807035,17.889171173639294
0.5499999999999999,0.7092298868222693,0.0,0.4944480731548011,43.84194899942676
0.1999999999999999,0.8042572682434487,0.0,0.4858564035572525,37.25284179501753
0.4999999999999999,0.454578925424321,0.2436647173489279,0.3755715218811231,39.3453791163593
0.1999999999999999,0.5736292201925507,0.0,0.3676401978165531,28.53173545022759
0.7,0.3328101707140547,0.0,0.4180274330502938,36.27094009410871
0.1999999999999999,0.3694450661212627,0.0,0.3896846132313141,23.97824198381442
0.3,0.7700400627437186,0.0,0.48101147709247,38.77628849590472
0.5999999999999999,0.6418568404343771,0.0,0.3235513669870293,39.13520518553516
0.1999999999999999,0.8860142750677741,0.0,0.4180274330502938,37.601042702951695
0.15,0.4167922772213931,0.0,0.4709340300457221,25.94315768167788
0.1999999999999999,0.7148242410845529,0.0,0.4092096668843892,33.10084769922355
0.35,0.4481859176261914,0.0,0.3404310907903332,28.46542521041312
0.0,0.2575549865661113,0.0,0.8765512736773351,28.35265650608616
0.5499999999999999,0.7328290756823203,0.043859649122807,0.359242325277596,42.14827625206808
0.15,0.4864926990900048,0.0469924812030074,0.6132779695810395,32.41907874685129
0.4999999999999999,0.3161095261394344,0.7177033492822966,0.3325218217445518,46.658367429157074
0.1999999999999999,0.8836911621735174,0.0,0.3580666231221423,36.04394463239149
0.15,0.7888705955635461,0.0,0.3109545581785946,31.24562884355352
0.5499999999999999,0.1846556367206226,0.0253036437246964,0.3875043963221625,28.68659191918704
0.7,0.3467839590901076,0.0487329434697856,0.5911169170476809,42.16584549018936
0.1,0.7906164259790004,0.0,0.5125034991135577,35.077998127313954
0.1999999999999999,0.1721907026930417,0.0234962406015038,0.5912335541662777,24.673012436520576
0.25,0.088360447919742,0.0,0.3720216965325309,17.759553611306824
0.15,0.4976444777346654,0.0,0.1674172367561617,20.37654286227068
0.5999999999999999,0.398968501348266,0.0,0.4885695623775312,37.188451593144926
0.1,0.3688123806774345,0.0,0.540846318932537,25.241467490249285
0.6499999999999999,0.1972535932264957,0.2923976608187134,0.4866100587851076,40.65653282075792
0.6499999999999999,0.3705553004517167,0.3083881578947368,0.3629163945133902,42.29649632149609
0.3999999999999999,0.4527722035619437,0.0,0.3702645329849767,30.57591841367301
0.7,0.3152087665013829,0.2392344497607654,0.3031292678582029,38.93931210300878
0.1999999999999999,0.0916149302127274,0.0219298245614035,0.3563030698889613,16.74619561657731
0.1999999999999999,0.4481859176261914,0.0,0.3686479425212279,25.42084650368548
0.5999999999999999,0.1727947489387934,0.1174812030075188,0.3865354110292056,31.92028407438795
0.35,0.9340375654617498,0.0,0.3665904637491834,41.26570073027333
0.3,0.602298517029083,0.0253036437246964,0.5469024770135151,36.862615944182366
0.6499999999999999,0.7120190726639413,0.0219298245614035,0.3151534944480731,42.477559791835446
0.3,0.2612559173912315,0.0226860254083485,0.4028243879366653,24.66915826840613
0.15,0.7871305190623389,0.0,0.3676401978165531,32.6192679219723
0.1999999999999999,0.4562713013604611,0.0243664717348927,0.6662312214239057,33.67172486298149
0.4499999999999999,0.2637901827179471,0.0243664717348927,0.5355976485956888,31.84385757621321
0.0499999999999999,0.2602031750937019,0.0,0.4936082859009048,20.09528652486517
0.1999999999999999,0.8554794369380873,0.0,0.2959352861377682,33.78536807689639
0.3,0.8841053396520581,0.0,0.3235513669870293,37.691417665977184
0.1,0.7888705955635461,0.0,0.6636652048147798,38.81339500945815
0.35,0.6398171943311768,0.0,0.4988569562377529,37.216853764223245
0.5499999999999999,0.2485364725236297,1.0,0.6084911822338337,60.17569136893659
