Club,SquadSize,Age,Overall,Potential,Value,Wage,Crossing,Finishing,ShortPassing,LongPassing,Dribbling,BallControl,Acceleration,SprintSpeed,Stamina,Strength,Aggression,Interceptions,Positioning,Vision,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,is_LeftFoot,International Reputation,Skill Moves,Weak Foot,Attack_Work_Intensity,Defense_Work_Intensity,NationalityDiversity
Adelaide United,25,-0.5128377528089104,-1.0651948415005288,-0.8049288286202471,-0.5134785759697692,-0.49221220526343434,-1.0037047154602068,-0.6191017893428594,-0.6949016240962325,-0.8938772448320489,-0.5796685908321376,-0.8216881267007274,-1.4648265079267473,-1.4495840426334825,-0.4263225208718595,-0.15132348299845597,-1.4234179861555392,-1.6391874586271926,-0.7004753447798121,-0.22923179326221346,-0.12122710674505814,-2.2315533748503436,-1.3427574893325565,-0.8162115409071411,-0.03495890244942607,0.11440996710477906,-0.4919609482380983,-0.5427725223530754,-0.6041316314051168,0.20275192526196434,-1.0489516168336084,-0.46575392158874024
Ajax,30,-1.8730227520431433,1.7026176852950032,2.038817988135071,1.6909862016063197,0.15169543580069808,2.5828251816740266,2.9906597455904533,2.280174970547956,2.204050431011949,2.7424630438532445,2.6597947582246513,1.969450417659725,2.315940825447987,2.328749538444393,0.3619849113669179,1.0857198389700338,1.5120749921784415,2.4324817122637263,3.0768127747291696,2.1690775960089956,0.8730770814377767,1.4065888072550805,0.6761436104456697,-0.9294662233832917,1.8270465230980515,1.9487286136247135,2.7047361690832736,1.6441951869430396,1.5480438714280098,-0.4282790636682833,1.2725266850286956
Akhisar Belediyespor,26,2.728648679272076,0.6804240839087669,-0.19381840157636857,-0.1731044998396188,-0.01973472769029767,1.3910727322180099,1.1765051280265484,0.5670917379716006,0.7302822050646515,1.106349218322637,0.7493915795442995,0.5802063674941528,0.35156761341648984,1.3426463383736646,0.7957666530841357,2.090284944562874,0.7180532323890236,1.055900475752014,0.4964357294154959,0.5168528038898678,0.9030992340766739,0.6828650087967973,0.6684438418411285,0.7037634356251717,0.5096337877186111,-0.3159496817576067,0.49489297668575827,0.0905925614873395,0.44852641542691307,-1.361458077168597,1.0242008840833476
Al Ahli,30,0.5260090427227379,-0.09231250919365211,-0.18803137101724177,-0.05923673721512148,0.3590063311851579,0.2864791649747689,-0.08934156407960862,-0.5214987975297846,-0.3609310853262279,-0.1602295159417591,-0.09098898302916926,1.1517654353772322,1.1783901562988375,0.6122614257789032,0.1571435333337891,-0.4085557888963116,0.00921388361149704,0.10293140447780667,-0.3731005178018036,-0.24998358918268024,-1.0268153704652951,-0.5970539310692419,-0.7252142755807516,-0.35155419019568074,0.024271200999870148,0.1182114422276044,0.05052233473625711,1.2631228448501306,0.14669809417171104,-0.7104029514707031,-0.21742812064339223
Al Batin,30,-0.024227607452922267,-1.419655846294506,-1.4143031464963838,-0.5324226885475861,-0.3624355847527625,-1.9267753840149746,-1.5413421814954944,-1.7181216089594065,-1.9355447384116073,-1.8945883204192737,-1.7116057608221182,-1.9412168889087207,-1.317256719895726,-2.2014754171347795,-1.3249440842000355,-0.7899073814247035,-1.9998741246832583,-1.96320685437119,-1.9072108968208952,-1.3489656867563173,-2.087220459899567,-2.182545141395446,-2.1902702473356426,0.35199089368488845,-0.4264226295246752,-0.4919609482380983,-0.730128793012865,0.11990581857140922,-1.2546476830845876,-0.14615517586585963,-0.9624055234794362
Al Faisaly,30,0.8561510328281344,-0.7258172837190605,-1.0983312779680172,-0.5077814467593255,-0.2028061953067284,-0.4537902746190701,-1.0397419682063689,-0.7077993549978696,-0.7171785181509742,-0.29085068113253454,-0.5743308290375924,0.07336929932350936,-0.26095966997151565,-0.22425493292516344,0.34993541854144034,0.0661880303737249,-0.9636909393028916,-0.39096618727892557,-0.3143785894182979,-0.6141433374911045,-1.2845527185916803,-0.49251604906971236,-0.3430257612099083,-0.4269340206114571,-0.4264226295246752,-0.4919609482380983,-0.417868341913217,0.8820505027572243,0.42696724962297006,-0.7104029514707031,-0.21742812064339223
Al Fateh,28,-0.16100071763944496,-1.1556955235755866,-1.2466446040119454,-0.5252698468791892,-0.23775288910010872,-0.6777055934466517,-1.0101990985013705,-0.7799652302808358,-0.6367683833133877,-0.9366997756869231,-0.8926662675326369,-0.18649538966274648,-0.12581334411778963,-0.6083695874321341,-1.269860688426421,-0.5241842601002563,-0.7761157934216054,-0.6320352499220938,-0.5277698827405015,-1.0400801859589928,-2.044088903682498,-0.7215037905924931,-0.668015994518447,0.6499206996139025,0.2496181162621428,-0.4919609482380983,-0.495933454688129,0.10629609206809114,0.2868326718973405,-0.7104029514707031,0.030897680301955742
Al Fayha,28,0.7586805405113022,-0.5658250064792258,-0.883921795752338,-0.4661646126488889,-0.22886813644077472,-0.6453322943390504,-0.981913372188075,-0.8797691003530244,-0.5985990155107374,-0.6490222094929545,-1.0221328334277495,-0.3261620791830493,-0.41185924853211603,-0.3173736370480649,-0.7405436821643405,-0.782680601974456,-0.5981453989860462,-1.1700308409428188,-0.040168155984603784,-1.458120713353868,-1.3418861286851016,-0.8708436220203924,-0.8630101345035706,1.4575617397829244,-0.7161543777190259,-0.3285219150776417,-0.6632158392057976,-0.09784980548168264,-1.2146092323058364,-0.1058517633226568,0.030897680301955742
Al Hazem,30,0.26189545063842157,-1.0274862239692535,-1.444395705403849,-0.5242706987830488,-0.3873128921988977,-0.6275269798298689,-1.0309419644644549,-1.2667010274021233,-1.2230498727621149,-0.6609439825063981,-1.1358603266062017,0.4407350160011508,0.4935382228314913,-1.5279167906457887,-2.433497424144033,-2.0429197568751274,-1.248443570399787,-1.09065444226763,-0.747452811246653,-1.7001197297680115,-1.6232932332720724,-1.2242812230664226,-1.3530954063328477,0.5781303849322121,1.3763526925735061,-0.4919609482380983,-0.8862590185626911,-0.45170269456795276,-0.6941093721820697,-1.2746507270755447,0.030897680301955742
Al Hilal,30,1.0542362268913728,0.5713591593567756,0.1204173577842625,0.18509136510268887,0.5393668101696382,1.0720712233192518,1.0634589261111858,0.6392969836175154,0.4513130615141957,0.36225514482134114,0.5202962928050133,0.5118380579387599,0.981059938181129,0.5905337281502274,0.9162615813389166,0.22184174160980202,0.04085306484448522,1.329443757340357,0.669213711005427,0.5628729918629103,1.7862036862284,-0.6231884015691247,-0.20652986322032202,-0.12541469894835713,0.9256588620489608,0.5758407350768819,1.4556943646846774,0.31044198961786235,0.707236405074229,-0.14615517586585963,0.27922348124730373
